ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_CREDIT_INQUIRIES,EXISTING_LOAN_BALANCE
5000789,F,Y,Y,282100.0,Commercial associate,Higher education,Married,House / apartment,-11766,-478,0,180300.0
5000790,M,Y,N,510600.0,Working,Lower secondary,Married,House / apartment,-19341,-5506,1,212000.0
5000791,F,N,Y,292400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18112,-294,0,0.0
5000792,F,N,N,269900.0,Working,Secondary / secondary special,Married,House / apartment,-20139,-9039,1,0.0
5000793,F,N,Y,249300.0,Working,Higher education,Married,House / apartment,-13949,-3837,1,13000.0
5000794,M,N,Y,173500.0,Working,Secondary / secondary special,Married,House / apartment,-24612,-2012,0,164800.0
5000795,F,N,Y,217800.0,Working,Secondary / secondary special,Married,House / apartment,-8820,-1301,0,234400.0
5000796,F,Y,Y,154500.0,Working,Higher education,Separated,House / apartment,-9038,-2232,1,89400.0
5000797,F,N,Y,216000.0,Pensioner,Lower secondary,Married,House / apartment,-23410,365243,1,48000.0
5000798,F,N,N,68700.0,Working,Higher education,Married,Office apartment,-18789,-4279,1,45100.0
5000799,F,Y,Y,273800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13272,-6582,1,115000.0
5000800,F,Y,Y,207900.0,Working,Secondary / secondary special,Married,Municipal apartment,-20750,-13607,0,0.0
5000801,M,Y,N,186700.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15442,-7003,0,176700.0
5000802,F,Y,Y,246600.0,Working,Secondary / secondary special,Married,House / apartment,-8032,-1220,1,27600.0
5000803,F,N,N,107900.0,Working,Secondary / secondary special,Married,House / apartment,-18847,-5146,3,77600.0
5000804,F,N,N,579600.0,Working,Secondary / secondary special,Married,House / apartment,-11843,-2230,3,0.0
5000805,F,Y,Y,209800.0,Working,Higher education,Married,House / apartment,-9650,-2943,3,7600.0
5000806,F,Y,Y,205400.0,Commercial associate,Higher education,Single / not married,House / apartment,-11537,-1933,3,178100.0
5000807,F,N,Y,136300.0,Commercial associate,Higher education,Married,House / apartment,-15844,-1062,3,20500.0
5000808,F,N,N,223600.0,Working,Incomplete higher,Civil marriage,House / apartment,-8526,-452,0,241300.0
5000809,M,N,Y,441900.0,Working,Secondary / secondary special,Married,House / apartment,-22831,-10431,2,191700.0
5000810,F,Y,Y,370800.0,State servant,Secondary / secondary special,Married,House / apartment,-17282,-4213,1,52000.0
5000811,F,N,N,338600.0,Working,Higher education,Single / not married,House / apartment,-12700,-1367,2,0.0
5000812,M,N,Y,290300.0,Pensioner,Academic degree,Married,House / apartment,-19463,365243,2,0.0
5000813,F,Y,N,184600.0,Working,Secondary / secondary special,Single / not married,House / apartment,-21476,-11923,1,71900.0
5000814,F,Y,N,107000.0,Working,Secondary / secondary special,Married,Municipal apartment,-18209,-5779,1,76500.0
5000815,F,Y,Y,199800.0,Commercial associate,Higher education,Married,House / apartment,-11146,-2674,2,211700.0
5000816,F,Y,N,196300.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-9563,-614,2,193000.0
5000817,M,N,N,373200.0,Working,Secondary / secondary special,Married,House / apartment,-22431,-2963,0,0.0
5000818,M,N,Y,257900.0,Working,Secondary / secondary special,Married,House / apartment,-11699,-804,0,0.0
5000819,M,N,Y,494700.0,Working,Higher education,Separated,House / apartment,-8015,-829,0,388400.0
5000820,F,N,Y,402000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18706,365243,1,216300.0
5000821,M,N,Y,175800.0,Commercial associate,Higher education,Married,House / apartment,-10294,-2926,3,172100.0
5000822,M,N,N,90000.0,Working,Secondary / secondary special,Married,House / apartment,-24681,-10747,1,0.0
5000823,M,N,Y,441600.0,Working,Secondary / secondary special,Married,House / apartment,-22600,-3951,1,527200.0
5000824,F,Y,N,435900.0,Working,Incomplete higher,Married,House / apartment,-18115,-9854,1,202700.0
5000825,F,N,Y,111600.0,Working,Secondary / secondary special,Married,House / apartment,-21985,-1707,3,0.0
5000826,M,N,Y,469800.0,Working,Secondary / secondary special,Married,House / apartment,-15747,-1208,1,411700.0
5000827,M,Y,N,267400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21205,-12435,3,0.0
5000828,F,N,N,239400.0,Working,Higher education,Civil marriage,House / apartment,-18769,-3118,0,263700.0
5000829,F,N,Y,495300.0,Working,Secondary / secondary special,Married,House / apartment,-8161,-1177,1,544300.0
5000830,M,N,Y,432700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23957,-313,2,0.0
5000831,F,N,Y,305900.0,Working,Higher education,Civil marriage,House / apartment,-22449,-1533,1,27000.0
5000832,M,N,Y,279900.0,Working,Secondary / secondary special,Separated,House / apartment,-24037,-8973,0,320000.0
5000833,M,N,Y,300600.0,Working,Secondary / secondary special,Married,House / apartment,-20225,-2639,2,0.0
5000834,F,N,Y,180900.0,Working,Higher education,Civil marriage,House / apartment,-14743,-407,2,65300.0
5000835,F,N,N,214900.0,State servant,Secondary / secondary special,Married,House / apartment,-11223,-2268,3,123400.0
5000836,F,N,Y,140700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10760,-1505,0,25700.0
5000837,M,N,N,187000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10157,-2910,2,0.0
5000838,F,N,N,183900.0,Working,Higher education,Separated,House / apartment,-11457,-4031,2,0.0
5000839,F,N,Y,160800.0,Working,Secondary / secondary special,Married,House / apartment,-17122,-6551,1,0.0
5000840,M,N,N,236500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19407,-3889,2,54700.0
5000841,F,Y,Y,187900.0,Working,Higher education,Married,House / apartment,-13061,-3092,1,154900.0
5000842,M,Y,N,284000.0,Working,Secondary / secondary special,Married,Municipal apartment,-17090,-7439,2,308900.0
5000843,F,Y,Y,98200.0,Working,Secondary / secondary special,Single / not married,With parents,-13528,-651,2,32900.0
5000844,M,N,Y,208700.0,Working,Secondary / secondary special,Married,House / apartment,-19627,-4461,0,0.0
5000845,F,Y,N,235900.0,Commercial associate,Higher education,Married,House / apartment,-24639,-12047,0,113000.0
5000846,M,Y,Y,189100.0,State servant,Secondary / secondary special,Married,House / apartment,-19498,-5355,2,184000.0
5000847,F,N,N,202700.0,Pensioner,Higher education,Civil marriage,House / apartment,-8683,365243,1,0.0
5000848,F,Y,N,100000.0,Working,Higher education,Married,House / apartment,-15862,-5870,0,86000.0
5000849,F,N,Y,264000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-20895,-1544,2,280500.0
5000850,M,Y,Y,305400.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-16978,-8125,1,310800.0
5000851,F,N,Y,282700.0,Pensioner,Incomplete higher,Married,House / apartment,-23996,365243,2,0.0
5000852,M,N,Y,371300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-8610,-368,1,5700.0
5000853,F,N,N,244300.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12668,-5275,0,0.0
5000854,M,N,Y,280600.0,Working,Higher education,Married,House / apartment,-11459,-683,0,2500.0
5000855,M,N,Y,238800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20847,-12735,1,119200.0
5000856,M,Y,N,311500.0,Working,Secondary / secondary special,Married,House / apartment,-16662,-3785,1,0.0
5000857,F,Y,Y,100400.0,Commercial associate,Secondary / secondary special,Married,With parents,-10045,-2236,0,83800.0
5000858,F,Y,N,141300.0,State servant,Secondary / secondary special,Married,House / apartment,-12572,-5106,2,130000.0
5000859,M,N,Y,488400.0,Working,Secondary / secondary special,Married,House / apartment,-16642,-283,2,582600.0
5000860,F,N,N,64600.0,Working,Higher education,Single / not married,House / apartment,-24770,-4015,2,0.0
5000861,F,N,Y,205900.0,Working,Lower secondary,Married,House / apartment,-13923,-6692,2,239900.0
5000862,F,Y,Y,397000.0,Working,Secondary / secondary special,Married,House / apartment,-10362,-1582,2,0.0
5000863,F,N,Y,210800.0,Working,Secondary / secondary special,Married,House / apartment,-16203,-6855,0,0.0
5000864,F,N,Y,180400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12995,-1056,2,169300.0
5000865,F,N,N,235700.0,State servant,Secondary / secondary special,Married,Municipal apartment,-17386,-7392,3,236800.0
5000866,M,N,Y,185100.0,Working,Secondary / secondary special,Married,House / apartment,-15682,-835,0,0.0
5000867,M,Y,N,224300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19506,-9328,1,68800.0
5000868,F,N,Y,157000.0,State servant,Incomplete higher,Married,House / apartment,-23365,-4854,4,68100.0
5000869,F,N,Y,384500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11112,365243,0,164000.0
5000870,M,Y,Y,450000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-21767,-6903,3,456500.0
5000871,M,Y,Y,206600.0,Working,Secondary / secondary special,Single / not married,House / apartment,-23966,-2581,2,112000.0
5000872,F,N,Y,110400.0,State servant,Secondary / secondary special,Single / not married,With parents,-14083,-4782,1,0.0
5000873,F,N,Y,170000.0,Working,Higher education,Married,House / apartment,-9621,-1149,0,177600.0
5000874,M,N,N,201500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21779,365243,1,168600.0
5000875,M,Y,Y,284400.0,Commercial associate,Incomplete higher,Separated,House / apartment,-19705,-5146,2,51700.0
5000876,F,N,Y,133400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11321,-3159,0,109500.0
5000877,F,N,Y,150400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15313,-1712,1,153900.0
5000878,M,N,Y,285200.0,Commercial associate,Academic degree,Separated,House / apartment,-17592,-9414,1,0.0
5000879,M,N,N,353200.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-10586,-3013,0,116800.0
5000880,M,Y,Y,161900.0,State servant,Secondary / secondary special,Married,With parents,-19942,-7800,2,48400.0
5000881,F,N,Y,113400.0,Working,Higher education,Married,House / apartment,-19513,-1819,1,97200.0
5000882,M,N,Y,800000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22899,365243,0,259400.0
5000883,M,N,Y,326800.0,Working,Higher education,Married,With parents,-17408,-7501,0,0.0
5000884,F,N,Y,193300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17529,-377,2,0.0
5000885,M,N,N,341100.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18303,-9470,0,17500.0
5000886,F,N,Y,207600.0,Working,Secondary / secondary special,Married,House / apartment,-12370,-1887,2,0.0
5000887,M,N,Y,340800.0,Working,Higher education,Civil marriage,With parents,-20693,-1816,2,157000.0
5000888,M,N,N,239200.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19043,-2203,1,4100.0
5000889,M,N,Y,231200.0,Working,Secondary / secondary special,Married,House / apartment,-22075,-14078,0,90900.0
5000890,F,N,N,208700.0,Working,Secondary / secondary special,Married,House / apartment,-20864,-11099,2,132200.0
5000891,F,N,Y,107100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18632,-3007,1,35200.0
5000892,F,N,N,582200.0,State servant,Secondary / secondary special,Married,House / apartment,-10432,-3723,0,267200.0
5000893,M,Y,Y,138000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23449,-2204,0,10100.0
5000894,F,N,Y,111900.0,Working,Higher education,Married,House / apartment,-13974,-5476,0,27000.0
5000895,M,Y,Y,198600.0,Working,Secondary / secondary special,Single / not married,House / apartment,-24224,-9657,1,104100.0
5000896,M,N,Y,136600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14569,-6599,1,62200.0
5000897,F,Y,Y,215300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10175,-1487,1,0.0
5000898,M,N,Y,311600.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-22860,-5980,0,18200.0
5000899,M,N,Y,363300.0,State servant,Higher education,Married,House / apartment,-21318,-9193,2,0.0
5000900,M,N,Y,332000.0,Working,Secondary / secondary special,Married,House / apartment,-21168,-5921,0,335900.0
5000901,M,N,Y,189600.0,Working,Secondary / secondary special,Married,House / apartment,-9205,-283,1,144300.0
5000902,M,Y,N,226400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22764,365243,1,35600.0
5000903,F,N,N,270900.0,Working,Higher education,Married,House / apartment,-17908,-8319,5,38700.0
5000904,F,Y,Y,91700.0,Commercial associate,Lower secondary,Widow,House / apartment,-15744,-5943,1,57800.0
5000905,F,N,Y,293800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23346,365243,0,281900.0
5000906,F,N,Y,106600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19104,365243,3,64100.0
5000907,M,N,Y,612700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9953,-1537,1,0.0
5000908,M,Y,N,180400.0,Working,Secondary / secondary special,Single / not married,With parents,-16589,-3160,1,147000.0
5000909,M,Y,Y,201400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18598,365243,0,0.0
5000910,F,N,Y,150300.0,Commercial associate,Incomplete higher,Married,House / apartment,-23095,-4809,0,175800.0
5000911,M,N,N,161200.0,Working,Secondary / secondary special,Married,House / apartment,-12475,-4419,2,0.0
5000912,F,N,Y,688700.0,Commercial associate,Higher education,Married,House / apartment,-21304,-10702,2,25800.0
5000913,F,N,N,353500.0,Working,Secondary / secondary special,Married,Municipal apartment,-21400,-11997,1,265100.0
5000914,F,N,N,101800.0,State servant,Higher education,Separated,House / apartment,-9868,-2554,0,37900.0
5000915,F,Y,Y,468600.0,Working,Secondary / secondary special,Single / not married,House / apartment,-7966,-1098,0,482600.0
5000916,M,N,Y,401100.0,State servant,Secondary / secondary special,Married,House / apartment,-17651,-2925,1,227900.0
5000917,F,N,Y,191900.0,State servant,Incomplete higher,Married,Municipal apartment,-21223,-1648,0,168400.0
5000918,F,Y,Y,257500.0,State servant,Secondary / secondary special,Married,With parents,-17188,-8128,2,38500.0
5000919,M,N,Y,219300.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-21632,-1605,2,205700.0
5000920,F,Y,N,592300.0,State servant,Higher education,Married,House / apartment,-18353,-11571,1,478300.0
5000921,F,N,Y,148300.0,Working,Secondary / secondary special,Widow,House / apartment,-18885,-10795,1,0.0
5000922,F,Y,Y,237600.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8153,-927,1,192500.0
5000923,F,N,Y,178300.0,State servant,Higher education,Married,House / apartment,-9191,-1039,0,164000.0
5000924,F,Y,N,107900.0,Working,Lower secondary,Civil marriage,House / apartment,-20116,-7220,0,107500.0
5000925,M,N,Y,660900.0,Working,Higher education,Single / not married,House / apartment,-20765,-10469,0,0.0
5000926,M,N,N,122400.0,Working,Secondary / secondary special,Married,With parents,-16977,-7912,1,66600.0
5000927,F,N,Y,246600.0,Working,Higher education,Married,House / apartment,-17801,-996,1,260400.0
5000928,F,N,Y,92500.0,Commercial associate,Higher education,Married,House / apartment,-18216,-9406,0,56100.0
5000929,M,N,N,180900.0,Commercial associate,Higher education,Married,House / apartment,-9472,-1924,1,120600.0
5000930,M,Y,N,272800.0,Working,Higher education,Married,House / apartment,-19136,-684,0,34600.0
5000931,F,Y,Y,146300.0,State servant,Secondary / secondary special,Married,House / apartment,-15884,-3040,3,29600.0
5000932,F,Y,Y,296200.0,Working,Secondary / secondary special,Married,House / apartment,-18013,-5930,0,0.0
5000933,F,N,N,193100.0,Commercial associate,Higher education,Married,House / apartment,-17337,-2176,1,0.0
5000934,M,N,Y,394600.0,Working,Incomplete higher,Separated,House / apartment,-20768,-2357,2,0.0
5000935,M,N,Y,436400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13139,-273,0,343500.0
5000936,M,N,N,164700.0,Working,Incomplete higher,Single / not married,House / apartment,-14082,-6860,3,0.0
5000937,F,Y,Y,229500.0,Working,Incomplete higher,Married,House / apartment,-14392,-611,1,0.0
5000938,M,Y,Y,242100.0,State servant,Higher education,Single / not married,House / apartment,-20759,-5307,2,0.0
5000939,F,Y,Y,301100.0,Working,Higher education,Widow,House / apartment,-15071,-1893,0,137400.0
5000940,M,N,Y,222500.0,Pensioner,Higher education,Married,House / apartment,-10710,365243,1,0.0
5000941,F,Y,N,242900.0,Commercial associate,Higher education,Single / not married,House / apartment,-24545,-10873,3,248700.0
5000942,F,Y,Y,195600.0,Working,Higher education,Married,With parents,-16140,-6818,1,0.0
5000943,F,N,Y,234000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-9545,-2430,0,0.0
5000944,M,N,Y,422700.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-19176,-7843,2,441400.0
5000945,M,Y,N,305100.0,Working,Secondary / secondary special,Separated,House / apartment,-20359,-8230,2,0.0
5000946,M,Y,Y,313700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16257,365243,1,24100.0
5000947,F,Y,N,317100.0,Working,Secondary / secondary special,Married,House / apartment,-18767,-5072,1,9400.0
5000948,F,N,Y,204500.0,Commercial associate,Higher education,Married,House / apartment,-10634,-2650,0,87400.0
5000949,F,N,N,259100.0,Working,Higher education,Married,House / apartment,-13986,-1015,1,58200.0
5000950,F,Y,Y,128400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10448,-2709,2,115400.0
5000951,F,Y,N,416600.0,Working,Higher education,Married,House / apartment,-14317,-968,0,496000.0
5000952,M,N,Y,54900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17331,-9295,0,56000.0
5000953,F,N,Y,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15267,365243,1,11200.0
5000954,F,Y,N,390800.0,Working,Higher education,Civil marriage,House / apartment,-17853,-5794,1,0.0
5000955,M,N,N,111700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16283,-5235,1,0.0
5000956,F,Y,Y,269800.0,Commercial associate,Higher education,Married,House / apartment,-13126,-3907,2,310400.0
5000957,M,N,N,157200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10132,-2801,1,105200.0
5000958,M,N,Y,183700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12007,-2694,2,204800.0
5000959,F,N,N,354500.0,Working,Higher education,Married,House / apartment,-11115,-2046,0,381000.0
5000960,M,N,Y,243900.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-19814,-3947,0,0.0
5000961,F,N,Y,79900.0,Pensioner,Lower secondary,Married,House / apartment,-21746,365243,0,35600.0
5000962,M,N,Y,135600.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-20036,-1882,2,35600.0
5000963,M,N,Y,359700.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-18721,-2459,1,194900.0
5000964,M,N,N,276500.0,Working,Higher education,Married,House / apartment,-12955,-185,0,92400.0
5000965,M,N,Y,529400.0,Commercial associate,Incomplete higher,Separated,House / apartment,-19875,-11588,0,388700.0
5000966,F,N,Y,512400.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-18057,365243,0,0.0
5000967,M,Y,Y,186200.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-8475,365243,1,0.0
5000968,F,N,N,772300.0,State servant,Higher education,Civil marriage,House / apartment,-23251,-11218,2,903400.0
5000969,F,N,Y,223600.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9042,-682,2,151800.0
5000970,F,N,Y,136500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16300,365243,1,116400.0
5000971,F,Y,N,160900.0,State servant,Higher education,Married,House / apartment,-16477,-205,1,93000.0
5000972,F,N,Y,71500.0,Working,Secondary / secondary special,Separated,House / apartment,-22038,-7282,1,46800.0
5000973,M,N,N,493400.0,Working,Secondary / secondary special,Single / not married,Office apartment,-23344,-6134,2,49800.0
5000974,M,Y,N,490300.0,Working,Secondary / secondary special,Married,House / apartment,-23801,-11378,3,452000.0
5000975,M,N,Y,132900.0,Commercial associate,Incomplete higher,Married,House / apartment,-17449,-4490,3,80600.0
5000976,F,Y,N,197100.0,Working,Secondary / secondary special,Single / not married,With parents,-19327,-11044,1,229200.0
5000977,M,Y,N,231700.0,Working,Higher education,Married,House / apartment,-9189,-415,3,36000.0
5000978,F,N,Y,136700.0,Working,Secondary / secondary special,Married,House / apartment,-16046,-3581,1,0.0
5000979,F,N,Y,91900.0,Working,Secondary / secondary special,Married,Rented apartment,-23083,-13656,1,60800.0
5000980,M,N,N,198800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15493,-285,1,0.0
5000981,F,Y,Y,188100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8864,-1006,0,206400.0
5000982,M,N,N,181900.0,Working,Secondary / secondary special,Married,House / apartment,-11114,-1314,3,12600.0
5000983,M,Y,Y,246900.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-15043,365243,2,0.0
5000984,F,Y,Y,451500.0,State servant,Higher education,Single / not married,House / apartment,-11747,-2836,1,0.0
5000985,F,Y,Y,189800.0,Pensioner,Higher education,Married,House / apartment,-14404,365243,2,17100.0
5000986,F,N,Y,240600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13386,-2030,0,0.0
5000987,F,N,Y,317700.0,Working,Higher education,Married,House / apartment,-13145,-5739,0,0.0
5000988,M,N,N,291400.0,Working,Higher education,Single / not married,House / apartment,-9235,-2504,0,241000.0
5000989,F,N,N,162500.0,Working,Secondary / secondary special,Married,House / apartment,-22823,-12433,1,153200.0
5000990,F,Y,N,231800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19561,365243,2,207700.0
5000991,F,N,Y,290500.0,Working,Higher education,Civil marriage,House / apartment,-18371,-4811,1,0.0
5000992,M,N,N,125700.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-18081,-11392,0,113900.0
5000993,F,N,Y,415500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14476,-5856,2,6900.0
5000994,M,Y,N,451900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21803,365243,0,0.0
5000995,M,N,Y,153900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23636,-5313,2,130400.0
5000996,F,N,N,243400.0,Commercial associate,Incomplete higher,Married,With parents,-7766,-277,3,193200.0
5000997,M,N,N,304600.0,Working,Higher education,Married,House / apartment,-9029,-1698,1,0.0
5000998,F,N,Y,168200.0,Commercial associate,Secondary / secondary special,Married,With parents,-19257,-9289,1,0.0
5000999,F,Y,Y,281000.0,Working,Incomplete higher,Married,House / apartment,-11722,-790,1,150400.0
5001000,M,N,Y,239700.0,State servant,Secondary / secondary special,Married,House / apartment,-23321,-8113,0,53000.0
5001001,F,Y,Y,106000.0,Working,Higher education,Civil marriage,House / apartment,-19127,-12393,1,0.0
5001002,F,N,Y,277900.0,Working,Secondary / secondary special,Married,With parents,-13992,-2543,2,0.0
5001003,F,N,Y,127400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-14799,365243,5,39900.0
5001004,F,Y,Y,353300.0,Working,Secondary / secondary special,Widow,House / apartment,-19530,-4038,2,0.0
5001005,F,N,N,157900.0,State servant,Secondary / secondary special,Married,Rented apartment,-10090,-3193,1,0.0
5001006,F,N,Y,203800.0,State servant,Secondary / secondary special,Separated,House / apartment,-22835,-1876,1,0.0
5001007,F,Y,N,438700.0,State servant,Secondary / secondary special,Married,House / apartment,-7752,-1111,0,283000.0
5001008,M,N,N,283100.0,Working,Secondary / secondary special,Married,House / apartment,-24475,-11428,2,22500.0
5001009,F,Y,Y,128800.0,Working,Secondary / secondary special,Married,House / apartment,-10548,-1664,0,131000.0
5001010,M,N,Y,133000.0,State servant,Higher education,Married,House / apartment,-20409,-1323,2,0.0
5001011,F,N,N,163700.0,State servant,Secondary / secondary special,Married,House / apartment,-8355,-213,1,61300.0
5001012,F,N,N,269100.0,Working,Higher education,Single / not married,House / apartment,-15076,-3309,2,0.0
5001013,M,N,Y,264200.0,Working,Higher education,Married,House / apartment,-18490,-8458,0,0.0
5001014,F,N,N,144900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8875,-1215,0,0.0
5001015,F,N,N,123200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15280,365243,3,47400.0
5001016,M,Y,N,254300.0,Working,Incomplete higher,Single / not married,House / apartment,-12874,-4700,1,223800.0
5001017,F,N,N,201700.0,Working,Secondary / secondary special,Married,House / apartment,-16223,-6530,0,136100.0
5001018,F,N,Y,649600.0,Commercial associate,Higher education,Widow,House / apartment,-16332,-5668,1,211700.0
5001019,M,Y,N,225000.0,Working,Higher education,Married,Municipal apartment,-21150,-14107,2,0.0
5001020,F,N,N,547200.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-9790,365243,0,63200.0
5001021,M,N,Y,123000.0,Working,Secondary / secondary special,Married,House / apartment,-9090,-1882,3,82000.0
5001022,F,N,N,100600.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14569,-7327,1,15400.0
5001023,F,Y,Y,126200.0,Working,Higher education,Married,House / apartment,-22906,-3676,0,0.0
5001024,F,Y,Y,400300.0,Working,Higher education,Civil marriage,House / apartment,-22352,-10478,2,0.0
5001025,F,Y,Y,531500.0,Working,Incomplete higher,Single / not married,House / apartment,-17283,-6475,1,0.0
5001026,F,N,Y,149400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-22927,-13517,2,70500.0
5001027,F,Y,Y,175500.0,Working,Secondary / secondary special,Married,House / apartment,-21495,-7547,0,0.0
5001028,M,N,N,123100.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-12441,-1772,4,0.0
5001029,F,Y,Y,89300.0,Working,Incomplete higher,Married,With parents,-10590,-1657,2,10200.0
5001030,M,N,Y,316400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12840,365243,4,0.0
5001031,F,N,Y,247000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11569,-1235,3,29000.0
5001032,M,N,Y,222100.0,Working,Higher education,Married,House / apartment,-18360,-2735,1,180500.0
5001033,M,Y,N,109700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17711,-5335,2,20600.0
5001034,M,N,N,501500.0,Working,Secondary / secondary special,Married,House / apartment,-17943,-10167,0,0.0
5001035,F,Y,N,171700.0,Working,Secondary / secondary special,Married,House / apartment,-10919,-981,1,0.0
5001036,M,N,Y,288500.0,Working,Secondary / secondary special,Married,House / apartment,-21263,-4335,2,0.0
5001037,F,N,Y,106700.0,Working,Higher education,Widow,House / apartment,-15114,-7311,2,32200.0
5001038,M,Y,N,200800.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-15780,-3243,2,231600.0
5001039,M,N,N,255500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-24784,-14067,0,248200.0
5001040,F,N,Y,260100.0,Working,Secondary / secondary special,Married,House / apartment,-12515,-1731,2,0.0
5001041,F,Y,N,238700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14436,-3577,0,17600.0
5001042,M,N,N,282900.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-19282,-1380,2,227900.0
5001043,F,Y,N,125500.0,Working,Secondary / secondary special,Married,House / apartment,-22784,-14497,1,116600.0
5001044,F,N,Y,243800.0,State servant,Secondary / secondary special,Married,Rented apartment,-9846,-2932,0,0.0
5001045,F,N,N,233800.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,-20288,-11245,2,251400.0
5001046,M,Y,Y,248000.0,Pensioner,Higher education,Widow,House / apartment,-23434,365243,1,0.0
5001047,M,N,Y,229000.0,Working,Secondary / secondary special,Married,House / apartment,-14930,-1468,4,99600.0
5001048,F,N,Y,116900.0,Pensioner,Higher education,Married,With parents,-12592,365243,1,104900.0
